x1,x2,label
"[np.float64(-0.2227552777648457), np.float64(-0.2366226405193464), np.float64(-0.2162294599980219), np.float64(0.1508477893858186), np.float64(-0.2162294599980219)]","[np.float64(-0.0116692205215566), np.float64(-0.2015463700226683), np.float64(-0.0145041380657534), np.float64(-0.1754430989553729), np.float64(-0.0133071728804259)]",0
"[np.float64(-0.2227552777648457), np.float64(-0.2366226405193464), np.float64(-0.2162294599980219), np.float64(0.1508477893858186), np.float64(-0.2162294599980219)]","[np.float64(-0.2070525287634259), np.float64(-0.0104992545509357), np.float64(-0.2178609144397278), np.float64(-0.1966520066975504), np.float64(-0.0148641275951753)]",0
"[np.float64(-0.2227552777648457), np.float64(-0.2366226405193464), np.float64(-0.2162294599980219), np.float64(0.1508477893858186), np.float64(-0.2162294599980219)]","[np.float64(-0.0083393173744048), np.float64(-0.0099142715656253), np.float64(-0.0139641537716207), np.float64(-0.2223474141544192), np.float64(-0.1069220124037227)]",0
"[np.float64(-0.2227552777648457), np.float64(-0.2366226405193464), np.float64(-0.2162294599980219), np.float64(0.1508477893858186), np.float64(-0.2162294599980219)]","[np.float64(-0.2137822783354629), np.float64(-0.0143691419922203), np.float64(-0.0120292100509784), np.float64(-0.0145941354481089), np.float64(-0.0105442532421134)]",0
"[np.float64(-0.2227552777648457), np.float64(-0.2366226405193464), np.float64(-0.2162294599980219), np.float64(0.1508477893858186), np.float64(-0.2162294599980219)]","[np.float64(-0.172995917292814), np.float64(-0.2276496410899636), np.float64(-0.013919155080443), np.float64(-0.0126141930362889), np.float64(-0.0145041380657534)]",0
"[np.float64(-0.2227552777648457), np.float64(-0.2366226405193464), np.float64(-0.2162294599980219), np.float64(0.1508477893858186), np.float64(-0.2162294599980219)]","[np.float64(-0.0146166347936978), np.float64(-0.0145941354481089), np.float64(0.3588582307033282), np.float64(-0.0145311372804601), np.float64(-0.0083393173744048)]",0
"[np.float64(-0.2227552777648457), np.float64(-0.2366226405193464), np.float64(-0.2162294599980219), np.float64(0.1508477893858186), np.float64(-0.2162294599980219)]","[np.float64(-0.1256837384833412), np.float64(-0.0144591393745757), np.float64(-0.0118942139774453), np.float64(-0.0148641275951753), np.float64(-0.0145041380657534)]",0
"[np.float64(-0.2227552777648457), np.float64(-0.2366226405193464), np.float64(-0.2162294599980219), np.float64(0.1508477893858186), np.float64(-0.2162294599980219)]","[np.float64(-0.1428140101212538), np.float64(-0.0118942139774453), np.float64(-0.2060328697373596), np.float64(-0.2019542336330947), np.float64(-0.2211238233231398)]",0
"[np.float64(-0.2227552777648457), np.float64(-0.2366226405193464), np.float64(-0.2162294599980219), np.float64(0.1508477893858186), np.float64(-0.2162294599980219)]","[np.float64(-0.0138741563892653), np.float64(0.1590050615943484), np.float64(-0.0116692205215566), np.float64(0.1957127865327324), np.float64(-0.0145041380657534)]",0
"[np.float64(-0.2227552777648457), np.float64(-0.2366226405193464), np.float64(-0.2162294599980219), np.float64(0.1508477893858186), np.float64(-0.2162294599980219)]","[np.float64(-0.2231631413752722), np.float64(-0.0136491629333766), np.float64(-0.2215316869335662), np.float64(0.330307777973474), np.float64(0.0481340400536428)]",0
"[np.float64(-0.2227552777648457), np.float64(-0.2366226405193464), np.float64(-0.2162294599980219), np.float64(0.1508477893858186), np.float64(-0.2162294599980219)]","[np.float64(-0.2215316869335662), np.float64(0.2446564197839112), np.float64(0.1467691532815537), np.float64(-0.0146391341392866), np.float64(-0.013919155080443)]",0
"[np.float64(-0.2227552777648457), np.float64(-0.2366226405193464), np.float64(-0.2162294599980219), np.float64(0.1508477893858186), np.float64(-0.2162294599980219)]","[np.float64(-0.2061960151815302), np.float64(-0.0097342768009144), np.float64(-0.0131991760215994), np.float64(-0.002534486212478), np.float64(-0.171364462851108)]",0
"[np.float64(-0.2227552777648457), np.float64(-0.2366226405193464), np.float64(-0.2162294599980219), np.float64(0.1508477893858186), np.float64(-0.2162294599980219)]","[np.float64(-0.0104047572994625), np.float64(-0.0103642584774025), np.float64(-0.2174530508293013), np.float64(-0.0126141930362889), np.float64(-0.0108142453891798)]",0
"[np.float64(-0.2227552777648457), np.float64(-0.2366226405193464), np.float64(-0.2162294599980219), np.float64(0.1508477893858186), np.float64(-0.2162294599980219)]","[np.float64(-0.014414140683398), np.float64(-0.0122092048156894), np.float64(-0.113855693780973), np.float64(-0.0147741302128198), np.float64(-0.0108142453891798)]",0
